years,gics_sector,ticker,avg_daily_close_change,avg_adj_close
2016,Health Care,ILMN,-0.0010904411335971983,151.53579333471873
2016,Health Care,ISRG,0.0006803399131590447,70.69981917123945
2016,Health Care,STE,-0.0002928869373190391,64.74018053024534
2016,Health Care,VRTX,-0.0017582124611632713,88.18281736828033
2016,Health Care,WST,0.0014900652284134171,71.03114173525856
2016,Industrials,AOS,0.0010084229944216944,38.85463012967791
2016,Industrials,EMR,0.000861210412116955,44.07059652843173
2016,Industrials,FAST,0.0007941672277317492,18.69306868977017
2016,Industrials,HON,0.0006153843223100174,94.58912816123357
2016,Industrials,LDOS,0.001106075511665949,35.33643648359511
2016,Industrials,LUV,0.0008066391850980476,39.902321724664596
2016,Industrials,NDSN,0.0024447431846122635,81.65125565301804
2016,Industrials,RHI,0.0004300599480896216,36.519363214099215
2016,Industrials,SWK,0.0004473078476591778,101.12817958044627
2016,Industrials,TT,0.0014133366935566874,45.0460273197719
2016,Industrials,UPS,0.0008464853501522295,88.40867805480957
2016,Industrials,WAB,0.0007815286866873089,73.08799278925336
2016,Information Technology,AVGO,0.0010174420711408293,132.2911581311907
2016,Information Technology,EPAM,-0.0005702947990068204,68.56087251693484
2016,Information Technology,HPQ,0.001280493751525485,11.08677127247765
2016,Information Technology,INTU,0.0008069860223092302,101.76607734437972
2016,Information Technology,IT,0.0005241266293619907,92.5786904531812
2016,Information Technology,LRCX,0.0013462821446141842,79.55021894545783
2016,Information Technology,MSFT,0.000659350878326149,50.923428868490554
2016,Information Technology,NXPI,0.0008754922446179553,83.10443184867738
2016,Information Technology,PTC,0.0013073035072110799,38.792380976298496
2016,Information Technology,TRMB,0.0015284220002103007,25.653492041996547
2016,Information Technology,V,0.00015337152843573963,75.00728455800859
2016,Information Technology,VRSN,-0.00042173216413679066,81.81349188183981
2016,Materials,APD,0.0009035051381048179,115.49831708272298
2016,Materials,CE,0.0008486465136530241,60.532338324047274
2016,Materials,CF,-0.0002732593499272949,23.443201087770007
2016,Materials,DD,0.0007925447657383567,59.07075567094107
2016,Materials,ECL,0.00023984330766184237,108.68419689602322
2016,Materials,IP,0.00166704886666299,32.1978174921066
2016,Materials,MOS,0.0008073381311492062,24.639014947982062
2016,Materials,NUE,0.0018554040180488657,42.127221001519096
2016,Materials,PKG,0.0014761799095565015,59.679189485216895
2016,Materials,SEE,0.00025810400667820404,42.45425054762099
2016,Materials,SHW,0.00030115426404036643,87.87686408512177
2016,Materials,VMC,0.001273693970975797,105.16186135912699
2016,Real Estate,ARE,0.0010424574393842914,84.33125518617176
2016,Real Estate,BXP,0.00011234794670999817,107.15889609806122
2016,Real Estate,CCI,0.00024749703674503465,73.91188771384103
2016,Real Estate,CPT,0.0007813759930542243,65.80520714653863
2016,Real Estate,DLR,0.0013066761994784725,76.87717091091095
2016,Real Estate,FRT,4.956939854566315e-05,125.38304316808306
2016,Real Estate,HST,0.001204868464842315,13.756002770529854
2016,Real Estate,KIM,2.6033131022714105e-05,20.797524035923065
2016,Real Estate,O,0.0006891219423350863,46.359512813507564
2016,Real Estate,PSA,-0.00018491104111861085,196.28555588495163
2016,Real Estate,REG,0.00022596849172338524,60.246558779761905
2016,Real Estate,WELL,0.00026485825982936004,53.70653179713658
2016,Utilities,AES,0.001100502055592121,9.230853536772349
2016,Utilities,ATO,0.0008083791409849113,63.98399530138288
2016,Utilities,CMS,0.0007464285167638328,35.236613319033665
2016,Utilities,CNP,0.0014458533085960773,17.844585687395128
2016,Utilities,DTE,0.0010075083960877948,63.661481736198304
2016,Utilities,ES,0.0005010965712078881,46.49350279853458
2016,Utilities,ETR,0.0005361220768224157,59.79922308240618
2016,Utilities,EXC,0.0013443250775239553,18.562428402522254
2016,Utilities,NEE,0.0008598305536078159,25.30573342338441
2016,Utilities,PEG,0.0007208048215379425,35.75286554154896
2016,Utilities,SO,0.00042247426678735354,38.751767748878116
2016,Utilities,XEL,0.0006891119855690071,35.12560226803734
2017,Communication Services,DIS,0.00023073543299527384,102.26329028368946
2017,Communication Services,DISH,-0.0006426911971748973,58.45000003343559
2017,Communication Services,EA,0.0012611191011580713,103.06444886956082
2017,Communication Services,GOOGL,0.0011808432601452435,939.7730703163907
2017,Communication Services,LUMN,-0.0007414982080017712,13.82792854689032
2017,Communication Services,LYV,0.001966554226468038,36.15015930388553
2017,Communication Services,MTCH,0.002610531521476927,19.920598026290833
2017,Communication Services,NFLX,0.0019007675784031815,165.37426304912188
2017,Communication Services,TMUS,0.0004972936266690978,62.59119523188982
2017,Communication Services,TTWO,0.0033731858459947425,80.860159323035
2017,Communication Services,VZ,0.00021260218865968436,38.79014494694562
2017,Communication Services,WBD,-0.0006325917301474743,24.53565741915152
2017,Consumer Discretionary,AAP,-0.0017786490971116726,118.34117102148049
2017,Consumer Discretionary,AMZN,0.0018563663766045834,968.1670116409363
2017,Consumer Discretionary,EBAY,0.001027285199217605,33.536590978918795
2017,Consumer Discretionary,HAS,0.0008589638395214295,85.01444356849944
2017,Consumer Discretionary,HD,0.0015047920210985934,139.08510966509937
2017,Consumer Discretionary,KMX,9.174865001503688e-05,65.84824701134427
2017,Consumer Discretionary,LEN,0.0017022558767150738,50.13857570207451
